STVBLDG_CODE,STVBLDG_DESC
BOONE,Richard G. Boone Hall
BOWEN,Wilbur P. Bowen Field House
FORD,R. Clyde Ford Hall
HALLE,Bruce T.  Halle Library
HOVER,J.M. Hover Laboratory
KING,Julia Anne King Hall
MARKJ,Mark Jefferson Hall
OWEN,Gary M. Owen Coll of Business
PEASE,Frederick H. Pease Auditorium
QUIRK,Quirk Dramatic Arts Building
RECIM,Olds-Robb Student Rec Ctr-IM
SHERZ,William H. Sherzer Hall
SILL,J.M.B. Sill Hall
SNOW,Snow Health Center
WCAMP,West Campus Fields
GVSU,"Grand Valley State U, Grand Ra"
HFHHC,"Henry Ford Home Health Care, L"
OAKMP,"Oakwood Metro Park, Flat Rock"
OCCOR,"Oakland CC, Farmington Hills"
UMMED,"U of M Medical Center, Ann Arb"
WCC,Washtenaw Community College
WISD,"Washtenaw Intermed Schools, AA"
WRESA,"Wayne RESA, Wayne"
JCC,"Jackson CC, Jackson"
BEST,Best Hall
BUELL,Buell Hall
JONES,Jones Hall
WISE,Wise Hall
HILL,Hill Hall
HOYT,Hoyt Hall
STARK,Mary Ann Starkweather Hall
WELCH,Adonijah S Welch Hall
BROWN,Brown Hall
BRIGGS,Walter O. Briggs Hall
CHIHOS,Children's Hospital of MI
DC-1,Dining Commons One
AUSTRI,Austria
ENGLAN,England
EUROPE,Europe
ITALY,Italy
MEXICO,Mexico
NETHER,Netherlands
FRANCE,France
SPAIN,Spain
ALEXAN,Alexander Music Building
BUSFIN,The Business and Finance Bldg
COATRI,Coatings Research Institute
COR-A,Cornell Courts Apartment Unt A
COR-B,Cornell Courts Apartment Unt B
COR-C,Cornell Courts Apartment Unt C
COR-D,Cornell Courts Apartment Unt D
COR-E,Cornell Courts Apartment Unt E
COR-F,Cornell Courts Apartment Unt F
COR-G,Cornell Courts Apartment Unt G
COR-H,Cornell Courts Apartment Unt H
COR-K,Cornell Courts Apartment Unt K
GOODIS,Bertha M. Goodison Hall
MARSHL,Everett L. Marshall Building
MCKENN,Charles McKenny Hall
MUNSON,Munson Hall
OESTRI,Oestrike Stadium
PIERCE,John D. Pierce Hall
PORTER,John W. Porter
PRAY-H,Pray-Harrold Hall
PUTNAM,Putnam Hall
ROOSEV,Roosevelt Hall
RYNEAR,Rynearson Stadium
SCULPT,The Sculpture Studio
SELLER,Sellers Hall
STRONG,Strong Physical Science Bldg
WALTON,Walton Hall
WARNER,Warner Physical Education Bldg
WES-A,Westview Apartment Unit A
WES-B,Westview Apartment Unit B
WES-C,Westview Apartment Unit C
WES-D,Westview Apartment Unit D
WES-E,Westview Apartment Unit E
WES-F,Westview Apartment Unit F
WES-G,Westview Apartment Unit G
WES-H,Westview Apartment Unit H
WES-I,Westview Apartment Unit I
WES-J,Westview Apartment Unit J
WES-K,Westview Apartment Unit K
WES-L,Westview Apartment Unit L
WES-M,Westview Apartment Unit M
WES-N,Westview Apartment Unit N
WES-O,Westview Apartment Unit O
WES-P,Westview Apartment Unit P
WES-Q,Westview Apartment Unit Q
WES-R,Westview Apartment Unit R
WES-S,Westview Apartment Unit S
WES-T,Westview Apartment Unit T
WES-U,Westview Apartment Unit U
WES-V,Westview Apartment Unit V
WES-W,Westview Apartment Unit W
WES-X,Westview Apartment Unit X
BALAS2,Ballas 2 Ann Arbor Public Sch
BALAS3,Ballas 3 Ann Arbor Public Sch
BCBSD,Blue Cross/Blue Shield-Detroit
BCBSS,Blue Cross/Blue Shield-Southfi
BRKWST,Brookwood Studio
CARIBB,Caribbean
CHAPEL,Chapelle Elementary School
CHIPVA,Chippewa Valley Administration
CMFINN,Comfort Inn Ann Arbor
COMCEN,Commonwealth Center
DETMET,Detroit Metro Airport
DETRIA,Detroit Institute of Arts
DETZOO,Detroit Zoo
EAGCCC,Eagle Crest Conference Center
EAGCGC,Eagle Crest Golf Club
EMULIV,EMU Livonia
ESTBRK,Estabrook Elementary School
FARMTC,Farmington Training Center
FINDLY,Findley
FLATHS,Flat Rock High School
GAYLRD,Gaylord
HARTHS,Hartland High School
HARTPS,Hart Public Schools
HENFCC,Henry Ford College
HFMGV,Henry Ford Museum/Greenfield V
HIGLAK,Higgins Lake
HILISD,Hillsdale ISD
HURHS,Huron High School
KETTES,Kettering Elementary School
KRESGE,Kresge Environmental Educ Ctr
LAKEMP,Lake Erie Metro Park
LINCHS,Lincoln High School
LIVESA,Livingston ESA
LKWDES,Lakewood Elementary School
MACISD,Macomb Intermed School Distric
MASCO,MASCO Corp Training Center
MONAUC,Monroe Area Univ. Center
MONISD,Monroe Intermed School Distric
MOTTCC,Mott Community College
NOVHIL,Novi Hilton
NWAC,Northwest Activity Center
OAKHOS,Oakwood Hospital - Dearborn
OTCPON,Oakland Tech Ctr- Pontiac
OTSCLB,Otsego Club
PHUPJO,Pharamacia-Upjohn
PIONHS,Pioneer High School
