STVTERM_CODE,STVTERM_DESC,STVTERM_ACYR_CODE
202450,Summer 2024,2024
202420,Winter 2024,2024
202410,Fall 2023,2024
202350,Summer 2023,2023
202320,Winter 2023,2023
202310,Fall 2022,2023
202250,Summer 2022,2022
202220,Winter 2022,2022
202210,Fall 2021,2022
202150,Summer 2021,2021
202120,Winter 2021,2021
202110,Fall 2020,2021
202050,Summer 2020,2020
202020,Winter 2020,2020
202010,Fall 2019,2020
201950,Summer 2019,2019
201920,Winter 2019,2019
201910,Fall 2018,2019
201850,Summer 2018,2018
201820,Winter 2018,2018
201810,Fall 2017,2018
201750,Summer 2017,2017
201720,Winter 2017,2017
201710,Fall 2016,2017
201650,Summer 2016,2016
201620,Winter 2016,2016
201610,Fall 2015,2016
201550,Summer 2015,2015
201520,Winter 2015,2015
201510,Fall 2014,2015
201450,Summer 2014,2014
201420,Winter 2014,2014
201410,Fall 2013,2014
201350,Summer 2013,2013
201320,Winter 2013,2013
201310,Fall 2012,2013
201250,Summer 2012,2012
201220,Winter 2012,2012
201210,Fall 2011,2012
201140,Summer 2011,2011
201130,Spring 2011,2011
201120,Winter 2011,2011
201110,Fall 2010,2011
201040,Summer 2010,2010
201030,Spring 2010,2010
201020,Winter 2010,2010
201010,Fall 2009,2010
200940,Summer 2009,2009
200930,Spring 2009,2009
200920,Winter 2009,2009
200910,Fall 2008,2009
200840,Summer 2008,2008
200830,Spring 2008,2008
200820,Winter 2008,2008
200810,Fall 2007,2008
200740,Summer 2007,2007
200730,Spring 2007,2007
200720,Winter 2007,2007
200710,Fall 2006,2007
200640,Summer 2006,2006
200630,Spring 2006,2006
200620,Winter 2006,2006
200610,Fall 2005,2006
200540,Summer 2005,2005
200530,Spring 2005,2005
200520,Winter 2005,2005
200510,Fall 2004,2005
200440,Summer 2004,2004
200430,Spring 2004,2004
200420,Winter 2004,2004
200410,Fall 2003,2004
200340,Summer 2003,2003
200330,Spring 2003,2003
200320,Winter 2003,2003
200310,Fall 2002,2003
200240,Summer 2002,2002
200230,Spring 2002,2002
200220,Winter 2002,2002
200210,Fall 2001,2002
200140,Summer 2001,2001
200130,Spring 2001,2001
200120,Winter 2001,2001
200110,Fall 2000,2001
200040,Summer 2000,2000
200030,Spring 2000,2000
200020,Winter 2000,2000
200010,Fall 1999,2000
199940,Summer 1999,1999
199930,Spring 1999,1999
199920,Winter 1999,1999
199910,Fall 1998,1999
199840,Summer 1998,1998
199830,Spring 1998,1998
199820,Winter 1998,1998
199810,Fall 1997,1998
199740,Summer 1997,1997
199730,Spring 1997,1997
199720,Winter 1997,1997
199710,Fall 1996,1997
199640,Summer 1996,1996
199630,Spring 1996,1996
199620,Winter 1996,1996
199610,Fall 1995,1996
199540,Summer 1995,1995
199530,Spring 1995,1995
199520,Winter 1995,1995
199510,Fall 1994,1995
199440,Summer 1994,1994
199430,Spring 1994,1994
199420,Winter 1994,1994
199410,Fall 1993,1994
199340,Summer 1993,1993
199330,Spring 1993,1993
199320,Winter 1993,1993
199310,Fall 1992,1993
199240,Summer 1992,1992
199230,Spring 1992,1992
199220,Winter 1992,1992
199210,Fall 1991,1992
199140,Summer 1991,1991
199130,Spring 1991,1991
199120,Winter 1991,1991
199110,Fall 1990,1991
199040,Summer 1990,1990
199030,Spring 1990,1990
199020,Winter 1990,1990
199010,Fall 1989,1990
198940,Summer 1989,1989
198930,Spring 1989,1989
198920,Winter 1989,1989
198910,Fall 1988,1989
198840,Summer 1988,1988
198830,Spring 1988,1988
198820,Winter 1988,1988
198810,Fall 1987,1988
198740,Summer 1987,1987
198730,Spring 1987,1987
198720,Winter 1987,1987
198710,Fall 1986,1987
198640,Summer 1986,1986
198630,Spring 1986,1986
198620,Winter 1986,1986
198610,Fall 1985,1986
198540,Summer 1985,1985
198530,Spring 1985,1985
198520,Winter 1985,1985
198510,Fall 1984,1985
198440,Sumer 1984,1984
198430,Spring 1984,1984
198420,Winter 1984,1984
198410,Fall 1983,1984
198340,Summer 1983,1983
198330,Spring 1983,1983
198320,Winter 1983,1983
198310,Fall 1982,1983
198240,Summer 1982,1982
198230,Spring 1982,1982
198220,Winter 1982,1982
198210,Fall 1981,1982
198140,Summer 1981,1981
198130,Spring 1981,1981
198120,Winter 1981,1981
198110,Fall 1980,1981
198040,Summer 1980,1980
198030,Spring 1980,1980
198020,Winter 1980,1980
198010,Fall 1979,1980
197940,Summer 1979,1979
197930,Spring 1979,1979
197920,Winter 1979,1979
197910,Fall 1978,1979
197840,Summer 1978,1978
197830,Spring 1978,1978
197820,Winter 1978,1978
197810,Fall 1977,1978
197740,Summer 1977,1977
197730,Spring 1977,1977
197720,Winter 1977,1977
197710,Fall 1976,1977
197640,Summer 1976,1976
197630,Spring 1976,1976
197620,Winter 1976,1976
197610,Fall 1975,1976
197540,Summer 1975,1975
197530,Spring 1975,1975
197520,Winter 1975,1975
197510,Fall 1974,1975
197440,Summer 1974,1974
197430,Spring 1974,1974
197420,Winter 1974,1974
197410,Fall 1973,1974
197340,Summer 1973,1973
197330,Spring 1973,1973
197320,Winter 1973,1973
197310,Fall 1972,1973
197240,Summer 1972,1972
197230,Spring 1972,1972
197220,Winter 1972,1972
197210,Fall 1971,1972
197140,Summer 1971,1971
197130,Spring 1971,1971
197110,Fall 1970,1971
197040,Summer 1970,1970
197030,Spring 1970,1970
197010,Fall 1969,1970
196940,Summer 1969,1969
196930,Spring 1969,1969
196910,Fall 1968,1969
196840,Summer 1968,1968
196830,Spring 1968,1968
196810,Fall 1967,1968
196740,Summer 1967,1967
196730,Spring 1967,1967
196710,Fall 1966,1967
196640,Summer 1966,1966
196630,Spring 1966,1966
196610,Fall 1965,1966
196540,Summer 1965,1965
196530,Spring 1965,1965
196510,Fall 1964,1965
196440,Summer 1964,1964
196430,Spring 1964,1964
196410,Fall 1963,1964
196340,Summer 1963,1963
196330,Spring 1963,1963
196310,Fall 1962,1963
196240,Summer 1962,1962
196230,Spring 1962,1962
196210,Fall 1961,1962
196140,Summer 1961,1961
196130,Spring 1961,1961
196110,Fall 1960,1961
196040,Summer 1960,1960
196030,Spring 1960,1960
196010,Fall 1959,1960
195940,Summer 1959,1959
195930,Spring 1959,1959
195910,Fall 1958,1959
195840,Summer 1958,1958
195830,Spring 1958,1958
195810,Fall 1957,1958
195740,Summer 1957,1957
195730,Spring 1957,1957
195710,Fall 1956,1957
195640,Summer 1956,1956
195630,Spring 1956,1956
195610,Fall 1955,1956
195540,Summer 1955,1955
195530,Spring 1955,1955
195510,Fall 1954,1955
195440,Summer 1954,1954
195430,Spring 1954,1954
195410,Fall 1953,1954
195340,Summer 1953,1953
195330,Spring 1953,1953
195310,Fall 1952,1953
195240,Summer 1952,1952
195230,Spring 1952,1952
195210,Fall 1951,1952
195140,Summer 1951,1951
195130,Spring 1951,1951
195110,Fall 1950,1951
195040,Summer 1950,1950
195030,Spring 1950,1950
195010,Fall 1949,1950
194940,Summer 1949,1949
194930,Spring 1949,1949
194910,Fall 1948,1949
194840,Summer 1948,1948
194830,Spring 1948,1948
